loan_id,assessment_date,stage_2_probability,predicted_stage
LN-00000001,2022-Q4,0.049605295,0
LN-00000002,2023-Q3,0.86919886,1
LN-00000003,2023-Q3,0.9152875,1
LN-00000004,2021-Q3,0.066064194,0
LN-00000005,2024-Q3,0.014510608,0
LN-00000006,2021-Q4,0.06565351,0
LN-00000007,2022-Q3,0.048511703,0
LN-00000008,2021-Q4,0.29197794,0
LN-00000009,2022-Q2,0.059623733,0
LN-00000010,2023-Q3,0.06275614,0
LN-00000011,2024-Q1,0.0957607,0
LN-00000012,2021-Q4,0.9829337,1
LN-00000013,2024-Q4,0.5749736,1
LN-00000014,2023-Q3,0.16508238,0
LN-00000015,2024-Q3,0.058405362,0
LN-00000016,2022-Q4,0.25910848,0
LN-00000017,2022-Q4,0.044848986,0
LN-00000018,2023-Q2,0.44205925,0
LN-00000019,2021-Q2,0.07334806,0
LN-00000020,2023-Q3,0.15522078,0
LN-00000021,2021-Q2,0.06643189,0
LN-00000022,2021-Q2,0.064067274,0
LN-00000023,2022-Q3,0.037873134,0
LN-00000024,2022-Q3,0.66536653,1
LN-00000025,2024-Q4,0.12676618,0
LN-00000026,2024-Q2,0.98945767,1
LN-00000027,2022-Q3,0.095325924,0
LN-00000028,2023-Q2,0.26500866,0
LN-00000029,2022-Q1,0.021736225,0
LN-00000030,2022-Q2,0.404232,0
LN-00000031,2024-Q2,0.14260122,0
LN-00000032,2023-Q1,0.29376486,0
LN-00000033,2023-Q4,0.16155212,0
LN-00000034,2022-Q3,0.18114303,0
LN-00000035,2021-Q1,0.041809082,0
LN-00000036,2022-Q4,0.16621667,0
LN-00000037,2024-Q4,0.09514031,0
LN-00000038,2024-Q4,0.91821367,1
LN-00000039,2022-Q3,0.3312798,0
LN-00000040,2022-Q1,0.056439098,0
LN-00000041,2022-Q1,0.17432773,0
LN-00000042,2022-Q2,0.17171568,0
LN-00000043,2023-Q1,0.2226467,0
LN-00000044,2022-Q3,0.080179304,0
LN-00000045,2023-Q1,0.6809492,1
LN-00000046,2023-Q4,0.14679386,0
LN-00000047,2023-Q4,0.20734286,0
LN-00000048,2023-Q1,0.9904867,1
LN-00000049,2024-Q2,0.5621054,1
LN-00000050,2024-Q4,0.62684035,1
LN-00000051,2023-Q4,0.08779224,0
LN-00000052,2022-Q4,0.1124403,0
LN-00000053,2021-Q4,0.091650836,0
LN-00000054,2022-Q2,0.94512564,1
LN-00000055,2023-Q2,0.090226516,0
LN-00000056,2021-Q1,0.40779185,0
LN-00000057,2022-Q4,0.40486482,0
LN-00000058,2022-Q3,0.056421362,0
LN-00000059,2022-Q2,0.10519028,0
LN-00000060,2021-Q2,0.1067897,0
LN-00000061,2022-Q1,0.62084407,1
LN-00000062,2023-Q3,0.4245587,0
LN-00000063,2024-Q2,0.0374776,0
LN-00000064,2023-Q4,0.057449576,0
LN-00000065,2021-Q1,0.18747847,0
LN-00000066,2024-Q3,0.024793945,0
LN-00000067,2023-Q4,0.40517896,0
LN-00000068,2021-Q2,0.055143185,0
LN-00000069,2023-Q1,0.046252098,0
LN-00000070,2022-Q1,0.59438545,1
LN-00000071,2023-Q2,0.029213736,0
LN-00000072,2023-Q1,0.9375269,1
LN-00000073,2024-Q1,0.09309917,0
LN-00000074,2021-Q2,0.04997521,0
LN-00000075,2022-Q4,0.8823419,1
LN-00000076,2023-Q3,0.6766732,1
LN-00000077,2021-Q4,0.09932466,0
LN-00000078,2023-Q3,0.19512065,0
LN-00000079,2024-Q3,0.96683437,1
LN-00000080,2024-Q1,0.35127622,0
LN-00000081,2021-Q3,0.6930386,1
LN-00000082,2023-Q3,0.67647624,1
LN-00000083,2022-Q2,0.4157491,0
LN-00000084,2023-Q2,0.951464,1
LN-00000085,2024-Q2,0.5030634,1
LN-00000086,2022-Q3,0.15664046,0
LN-00000087,2022-Q2,0.087707326,0
LN-00000088,2022-Q4,0.0922687,0
LN-00000089,2022-Q1,0.05406647,0
LN-00000090,2022-Q1,0.5973044,1
LN-00000091,2024-Q1,0.18404974,0
LN-00000092,2021-Q2,0.38892052,0
LN-00000093,2022-Q2,0.0776874,0
LN-00000094,2023-Q2,0.9898088,1
LN-00000095,2022-Q3,0.08558349,0
LN-00000096,2024-Q1,0.7982098,1
LN-00000097,2021-Q2,0.9126025,1
LN-00000098,2023-Q4,0.020858558,0
LN-00000099,2024-Q2,0.34406516,0
LN-00000100,2021-Q3,0.13573344,0
LN-00000101,2023-Q2,0.061007503,0
LN-00000102,2023-Q3,0.1342235,0
LN-00000103,2024-Q1,0.14620216,0
LN-00000104,2022-Q4,0.5422365,1
LN-00000105,2022-Q3,0.5853612,1
LN-00000106,2022-Q3,0.08097472,0
LN-00000107,2022-Q4,0.6324809,1
LN-00000108,2022-Q2,0.3711311,0
LN-00000109,2023-Q3,0.6513731,1
LN-00000110,2022-Q4,0.9656628,1
LN-00000111,2024-Q3,0.72947407,1
LN-00000112,2023-Q1,0.04400593,0
LN-00000113,2022-Q2,0.3951419,0
LN-00000114,2021-Q4,0.039839305,0
LN-00000115,2022-Q4,0.25092825,0
LN-00000116,2021-Q2,0.9132961,1
LN-00000117,2022-Q2,0.4617029,0
LN-00000118,2022-Q4,0.084497824,0
LN-00000119,2023-Q3,0.16954729,0
LN-00000120,2022-Q3,0.03941184,0
LN-00000121,2024-Q4,0.17011085,0
LN-00000122,2021-Q2,0.49391407,0
LN-00000123,2022-Q3,0.301936,0
LN-00000124,2022-Q1,0.086883776,0
LN-00000125,2024-Q4,0.76303613,1
LN-00000126,2023-Q2,0.09135926,0
LN-00000127,2024-Q1,0.8916096,1
LN-00000128,2023-Q3,0.11440811,0
LN-00000129,2022-Q1,0.90517706,1
LN-00000130,2024-Q3,0.18247256,0
LN-00000131,2021-Q4,0.3281772,0
LN-00000132,2023-Q1,0.10995092,0
LN-00000133,2023-Q3,0.061142992,0
LN-00000134,2024-Q1,0.06037227,0
LN-00000135,2023-Q3,0.036366746,0
LN-00000136,2023-Q1,0.10620738,0
LN-00000137,2021-Q2,0.11555713,0
LN-00000138,2024-Q1,0.6154571,1
LN-00000139,2024-Q3,0.06869233,0
LN-00000140,2022-Q3,0.9836927,1
LN-00000141,2023-Q2,0.1079418,0
LN-00000142,2021-Q2,0.050336294,0
LN-00000143,2023-Q1,0.10479862,0
LN-00000144,2022-Q4,0.38223854,0
LN-00000145,2024-Q2,0.10670205,0
LN-00000146,2024-Q1,0.31736928,0
LN-00000147,2024-Q4,0.13072988,0
LN-00000148,2021-Q2,0.24193025,0
LN-00000149,2024-Q2,0.8814992,1
LN-00000150,2022-Q2,0.25390536,0
LN-00000151,2024-Q2,0.14715941,0
LN-00000152,2024-Q2,0.05529167,0
LN-00000153,2021-Q3,0.16873744,0
LN-00000154,2021-Q4,0.260197,0
LN-00000155,2022-Q2,0.18133445,0
LN-00000156,2022-Q2,0.9483053,1
LN-00000157,2021-Q3,0.8308191,1
LN-00000158,2024-Q4,0.73837036,1
LN-00000159,2022-Q4,0.23724633,0
LN-00000160,2023-Q4,0.68966067,1
LN-00000161,2022-Q3,0.50952744,1
LN-00000162,2023-Q4,0.43932205,0
LN-00000163,2024-Q3,0.024740137,0
LN-00000164,2024-Q4,0.09454469,0
LN-00000165,2022-Q3,0.043606713,0
LN-00000166,2021-Q1,0.23532818,0
LN-00000167,2024-Q3,0.03379236,0
LN-00000168,2023-Q1,0.7736322,1
LN-00000169,2023-Q1,0.90096235,1
LN-00000170,2024-Q4,0.841951,1
LN-00000171,2024-Q4,0.12655133,0
LN-00000172,2021-Q3,0.3481049,0
LN-00000173,2024-Q2,0.045301657,0
LN-00000174,2024-Q1,0.96559626,1
LN-00000175,2022-Q3,0.08157381,0
LN-00000176,2024-Q2,0.9619862,1
LN-00000177,2022-Q1,0.37393034,0
LN-00000178,2022-Q2,0.98519725,1
LN-00000179,2023-Q3,0.9279322,1
LN-00000180,2023-Q1,0.08366485,0
LN-00000181,2022-Q1,0.5488634,1
LN-00000182,2022-Q1,0.76827353,1
LN-00000183,2023-Q3,0.18500072,0
LN-00000184,2021-Q3,0.43194416,0
