loan_id,assessment_date,stage_2_probability,predicted_stage
LN-00000001,2022-Q4,0.07436877,0
LN-00000002,2023-Q3,0.88850015,1
LN-00000003,2023-Q3,0.9412734,1
LN-00000004,2021-Q3,0.097375266,0
LN-00000005,2024-Q3,0.019440293,0
LN-00000006,2021-Q4,0.07250597,0
LN-00000007,2022-Q3,0.0463043,0
LN-00000008,2021-Q4,0.3292606,0
LN-00000009,2022-Q2,0.14284629,0
LN-00000010,2023-Q3,0.08475761,0
LN-00000011,2024-Q1,0.1477339,0
LN-00000012,2021-Q4,0.9829337,1
LN-00000013,2024-Q4,0.6898603,1
LN-00000014,2023-Q3,0.2563853,0
LN-00000015,2024-Q3,0.0667848,0
LN-00000016,2022-Q4,0.3041484,0
LN-00000017,2022-Q4,0.06162224,0
LN-00000018,2023-Q2,0.5109413,1
LN-00000019,2021-Q2,0.06699695,0
LN-00000020,2023-Q3,0.1512564,0
LN-00000021,2021-Q2,0.105038285,0
LN-00000022,2021-Q2,0.07644403,0
LN-00000023,2022-Q3,0.041606758,0
LN-00000024,2022-Q3,0.7205408,1
LN-00000025,2024-Q4,0.17266545,0
LN-00000026,2024-Q2,0.98945767,1
LN-00000027,2022-Q3,0.103951134,0
LN-00000028,2023-Q2,0.40491897,0
LN-00000029,2022-Q1,0.03446859,0
LN-00000030,2022-Q2,0.5707839,1
LN-00000031,2024-Q2,0.2404532,0
LN-00000032,2023-Q1,0.3295758,0
LN-00000033,2023-Q4,0.20857501,0
LN-00000034,2022-Q3,0.22234422,0
LN-00000035,2021-Q1,0.06464223,0
LN-00000036,2022-Q4,0.28423786,0
LN-00000037,2024-Q4,0.14042105,0
LN-00000038,2024-Q4,0.95563805,1
LN-00000039,2022-Q3,0.36362135,0
LN-00000040,2022-Q1,0.10486057,0
LN-00000041,2022-Q1,0.21951391,0
LN-00000042,2022-Q2,0.1785881,0
LN-00000043,2023-Q1,0.35550028,0
LN-00000044,2022-Q3,0.12368762,0
LN-00000045,2023-Q1,0.74629605,1
LN-00000046,2023-Q4,0.14998774,0
LN-00000047,2023-Q4,0.32038227,0
LN-00000048,2023-Q1,0.9931172,1
LN-00000049,2024-Q2,0.62458,1
LN-00000050,2024-Q4,0.80882627,1
LN-00000051,2023-Q4,0.10860737,0
LN-00000052,2022-Q4,0.11029051,0
LN-00000053,2021-Q4,0.10549935,0
LN-00000054,2022-Q2,0.9519462,1
LN-00000055,2023-Q2,0.14570338,0
LN-00000056,2021-Q1,0.5330631,1
LN-00000057,2022-Q4,0.43627462,0
LN-00000058,2022-Q3,0.11914095,0
LN-00000059,2022-Q2,0.129547,0
LN-00000060,2021-Q2,0.19076562,0
LN-00000061,2022-Q1,0.69470775,1
LN-00000062,2023-Q3,0.54160523,1
LN-00000063,2024-Q2,0.06116195,0
LN-00000064,2023-Q4,0.08120361,0
LN-00000065,2021-Q1,0.24720433,0
LN-00000066,2024-Q3,0.031682104,0
LN-00000067,2023-Q4,0.48811904,0
LN-00000068,2021-Q2,0.05917533,0
LN-00000069,2023-Q1,0.04235517,0
LN-00000070,2022-Q1,0.6338606,1
LN-00000071,2023-Q2,0.038181826,0
LN-00000072,2023-Q1,0.94990474,1
LN-00000073,2024-Q1,0.14952049,0
LN-00000074,2021-Q2,0.04979374,0
LN-00000075,2022-Q4,0.8975426,1
LN-00000076,2023-Q3,0.7561906,1
LN-00000077,2021-Q4,0.148251,0
LN-00000078,2023-Q3,0.29604527,0
